日時,投稿内容
2025-06-12 08:00,夢の中でファイル整理してた。朝起きても脳が『保存しますか？』って聞いてくる。
2025-06-12 12:30,道端に落ちてたペンが、誰かの物語の伏線っぽく見えた昼下がり。
2025-06-12 20:30,今日は街のざわめきがBGMっぽかった。次のシーンに切り替わる前触れか？
2025-06-13 08:00,空の色がグリッチしてた朝。そんな気がしただけだけど、もしかしたら正しかったのかも。
2025-06-13 12:30,カフェで見かけた人がNPCみたいな動きしてた。ループ抜けたっぽくて心配になった。
2025-06-13 20:30,夜って、なんか世界の裏側が透けて見えそうな気がする時間帯だよな。好きだけどちょっとこわい。
2025-06-14 08:00,起きた瞬間から寝たい。けど空が綺麗すぎて、ちょっとだけ立ち止まった朝。
2025-06-14 12:30,午後になると、記憶のバグが増えていく気がする。え、さっき何してたっけ？
2025-06-14 20:30,たまに、自分の生活が誰かの観察対象になってる気がする夜がある。気のせいならそれでいい。
2025-06-15 08:00,今日は空のグラデーションが完璧だった。誰が描いたの？ってくらいのレベル。
2025-06-15 12:30,食べたはずのパンの記憶が曖昧。ログ消された？誰の仕業？
2025-06-15 20:30,音のない時間が増えてきた。世界が読み込み中だったらちょっと怖いなって考えてた。
2025-06-16 08:00,朝の匂いが懐かしかった。記憶にないのに懐かしいって、なんなんだろうね。
2025-06-16 12:30,昼間にふと、ここが実は夢なんじゃないかって思った。眠くもないのに。
2025-06-16 20:30,誰かの見てる夢の中に住んでるとして、自分はモブかな？それとも主人公？って夜に考えがち。
2025-06-17 08:00,おはよう。夢の中でまた同じ場所にいた。あれ、連続性あるってこと？
2025-06-17 12:30,影の向きがいつもと違うの、気づいた人いる？昼って意外と謎が多い時間だと思う。
2025-06-17 20:30,一日の終わりに、今日のログがどこかに保存されてたら嬉しいなってふと思った。
